time,CH1,CH2,REF1,REF2
   0.000112,   1.280000,  -0.400000,   2.000000,  -1.000000
   0.000112,   1.280000,  -0.400000,   2.080000,  -1.000000
   0.000113,   1.280000,  -0.400000,   2.160000,  -0.800000
   0.000113,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000113,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000113,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000114,   1.360000,  -0.400000,   2.160000,  -0.800000
   0.000114,   1.360000,  -0.400000,   2.240000,  -0.800000
   0.000114,   1.360000,  -0.400000,   2.240000,  -0.800000
   0.000114,   1.360000,  -0.400000,   2.240000,  -0.800000
   0.000115,   1.360000,  -0.400000,   2.320000,  -0.600000
   0.000115,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000115,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000115,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000116,   1.440000,  -0.400000,   2.320000,  -0.600000
   0.000116,   1.440000,  -0.200000,   2.400000,  -0.600000
   0.000116,   1.520000,  -0.200000,   2.400000,  -0.600000
   0.000116,   1.520000,  -0.200000,   2.400000,  -0.600000
   0.000117,   1.520000,  -0.200000,   2.400000,  -0.400000
   0.000117,   1.520000,  -0.200000,   2.400000,  -0.400000
   0.000117,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000117,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000118,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000118,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000118,   1.520000,  -0.200000,   2.480000,  -0.400000
   0.000118,   1.520000,   0.000000,   2.480000,  -0.400000
   0.000119,   1.520000,   0.000000,   2.560000,  -0.400000
   0.000119,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000119,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000119,   1.600000,   0.000000,   2.560000,  -0.200000
   0.000120,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000120,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000120,   1.520000,   0.000000,   2.560000,  -0.200000
   0.000120,   1.600000,   0.000000,   2.560000,  -0.200000
   0.000121,   1.600000,   0.000000,   2.560000,  -0.200000
   0.000121,   1.520000,   0.000000,   2.560000,   0.000000
   0.000121,   1.520000,   0.000000,   2.560000,   0.000000
   0.000121,   1.600000,   0.000000,   2.560000,   0.000000
   0.000122,   1.600000,   0.000000,   2.560000,   0.000000
   0.000122,   1.600000,   0.200000,   2.560000,   0.000000
   0.000122,   1.600000,   0.000000,   2.560000,   0.000000
   0.000122,   1.600000,   0.200000,   2.560000,   0.000000
   0.000123,   1.600000,   0.200000,   2.560000,   0.000000
   0.000123,   1.520000,   0.200000,   2.560000,   0.200000
   0.000123,   1.600000,   0.200000,   2.640000,   0.200000
   0.000123,   1.600000,   0.200000,   2.560000,   0.200000
   0.000124,   1.600000,   0.200000,   2.560000,   0.200000
   0.000124,   1.520000,   0.200000,   2.640000,   0.200000
